Origin,Destination,Leave,Back,width time,Length Time,O 0-5,D 0-5,O 5-15,D 5-15,O 16-24,D 16-24,O 25-34,D 25-34,O 35-49,D 35-49,O 50-64,D 50-64,O 65-74,D 65-74,O 75+,D 75+,Width time,Length time
,,6,18,,,0,0,0,,5.0,0.0,10.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,5.0,0.0,9.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,15.0,0.0,23.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,11.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,11.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,2.0,0.0,10.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,7.0,0.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,21.0,0.0,27.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,10.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,6.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,14.0,0.0,34.0,0.0,28.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,28.0,0.0,54.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,6.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,0.0,20.0,0.0,65.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,11.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,6.0,3.0,2.0,4.0,17.0,9.0,2.0,10.0,0.0,4.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,5.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,21.0,0.0,28.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,13.0,0.0,44.0,0.0,92.0,0.0,43.0,0.0,2.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,7.0,0.0,5.0,0.0,7.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,8.0,0.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,4.0,0.0,8.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,7.0,0.0,13.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,10.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,11.0,0.0,8.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,7.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,4.0,0.0,16.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,3.0,0.0,21.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,6.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,3.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,10.0,0.0,10.0,0.0,27.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,7.0,0.0,22.0,0.0,34.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,10.0,0.0,23.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,5.0,4.0,4.0,9.0,11.0,7.0,10.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,13.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,8.0,0.0,17.0,0.0,26.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,18.0,0.0,99.0,0.0,161.0,0.0,58.0,0.0,4.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,4.0,0.0,8.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,16.0,0.0,14.0,0.0,16.0,0.0,25.0,0.0,3.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,7.0,1.0,5.0,3.0,19.0,8.0,11.0,15.0,2.0,2.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,2.0,0.0,9.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,6.0,0.0,3.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,0.0,4.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,4.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,0.0,4.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,9.0,0.0,13.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,13.0,0.0,13.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,9.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,16.0,0.0,12.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,7.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,6.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,5.0,0.0,9.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,10.0,0.0,9.0,0.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,15.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,12.0,0.0,24.0,0.0,32.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,7.0,0.0,35.0,0.0,46.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,10,60
