Home,Location,N(0-4),N(5-10),N(11-15),N(16-24),N(25-34),N(35-49),N(50-64),N(65-74),N(75+)
326,326,401,469,226,580,974,1392,1122,645,652
327,327,559,921,490,761,1215,1776,1391,579,417
328,328,399,550,285,1288,785,1179,908,397,362
329,329,466,661,347,698,855,1402,1310,594,508
330,330,443,538,262,607,889,1356,1207,652,539
331,331,1204,1632,699,1153,1308,1733,920,441,255
332,332,692,696,283,815,1655,1686,1099,369,277
333,333,1061,1211,586,971,1324,1636,1041,407,280
334,334,1214,1351,616,888,1331,1607,1106,344,263
335,335,841,871,456,880,2420,2393,1193,388,227
336,336,493,513,271,906,3185,2269,1087,349,262
337,337,565,703,347,546,1388,1764,1020,376,314
338,338,506,572,258,626,1956,2112,1154,393,320
339,339,742,853,411,894,2641,2555,1389,467,377
340,340,543,657,348,698,2237,2343,1295,416,411
341,341,419,554,286,500,1777,2028,1082,323,197
342,342,488,811,424,702,972,1280,1022,430,282
343,343,642,743,408,936,3243,3137,1477,493,397
344,344,488,537,274,588,1464,1699,916,289,246
345,345,793,1185,626,1043,2498,2831,1730,523,424
346,346,430,604,302,722,2764,2178,1071,332,239
347,347,472,562,359,706,1746,1814,980,303,219
348,348,854,1400,731,1123,2146,2771,1682,544,394
349,349,570,673,345,746,2790,2460,1379,572,412
350,350,781,772,344,1051,5253,3931,1663,654,468
351,351,586,846,386,878,1762,2219,1417,466,397
352,352,648,858,395,843,3275,3253,1378,363,174
353,353,683,814,457,938,2635,2475,1403,476,369
354,354,839,1110,545,1197,3976,3774,1576,546,344
355,355,591,763,363,980,2656,2379,1304,349,226
356,356,518,732,421,3489,5365,3171,1266,360,297
357,357,531,829,397,1347,1845,2112,1465,491,378
358,358,463,806,418,781,999,1325,1045,315,247
359,359,409,621,292,740,1271,1408,1004,388,337
360,360,454,574,265,627,1437,1567,1043,390,287
361,361,385,456,188,630,1707,1633,998,303,257
362,362,528,643,248,879,1619,1823,1261,480,349
363,363,399,428,167,529,1526,1580,948,354,266
364,364,504,710,297,611,1329,1815,1182,538,473
365,365,404,560,184,605,867,1349,952,345,276
366,366,478,749,304,844,1368,1914,1167,456,285
367,367,333,481,214,470,1170,1424,966,345,210
368,368,361,416,180,1148,2099,1915,1281,617,492
369,369,405,480,254,795,1368,1645,1125,457,439
370,370,206,250,111,758,1808,1469,677,274,164
