Home,Location,S(0-49),E(0-49),I(0-49),R(0-49),S(50+),E(50+),I(50+),R(50+)
324,324,5632,0,0,0,2695,0,0,0
325,325,3892,0,0,0,2428,0,0,0
326,326,4079,0,0,0,2442,0,0,0
327,327,5768,0,0,0,2408,0,0,0
328,328,4529,0,0,0,1685,0,0,0
329,329,4472,0,0,0,2433,0,0,0
330,330,4132,0,0,0,2421,0,0,0
331,331,8011,0,0,0,1683,0,0,0
332,332,6043,0,0,0,1814,0,0,0
333,333,7040,0,0,0,1797,0,0,0
334,334,7266,0,0,0,1781,0,0,0
335,335,8146,0,0,0,1883,0,0,0
336,336,7910,0,0,0,1766,0,0,0
337,337,5513,0,0,0,1777,0,0,0
338,338,6254,0,0,0,1942,0,0,0
339,339,8391,0,0,0,2319,0,0,0
340,340,7076,0,0,0,2207,0,0,0
341,341,5774,0,0,0,1667,0,0,0
342,342,4860,0,0,0,1804,0,0,0
343,343,9435,0,0,0,2459,0,0,0
344,344,5238,0,0,0,1512,0,0,0
345,345,9296,0,0,0,2778,0,0,0
346,346,7259,0,0,0,1707,0,0,0
347,347,5869,0,0,0,1565,0,0,0
348,348,9353,0,0,0,2718,0,0,0
349,349,7863,0,0,0,2454,0,0,0
350,350,12556,0,0,0,2889,0,0,0
351,351,6924,0,0,0,2369,0,0,0
352,352,9603,0,0,0,1991,0,0,0
353,353,8295,0,0,0,2337,0,0,0
354,354,11846,0,0,0,2557,0,0,0
355,355,8012,0,0,0,1954,0,0,0
356,356,14172,0,0,0,2002,0,0,0
357,357,7422,0,0,0,2456,0,0,0
358,358,5045,0,0,0,1695,0,0,0
359,359,4993,0,0,0,1821,0,0,0
360,360,5186,0,0,0,1812,0,0,0
361,361,5264,0,0,0,1643,0,0,0
362,362,6039,0,0,0,2204,0,0,0
363,363,4875,0,0,0,1656,0,0,0
364,364,5540,0,0,0,2310,0,0,0
365,365,4184,0,0,0,1663,0,0,0
366,366,5956,0,0,0,2011,0,0,0
367,367,4311,0,0,0,1606,0,0,0
368,368,6436,0,0,0,2516,0,0,0
369,369,5213,0,0,0,2132,0,0,0
370,370,4845,0,0,0,1179,0,0,0
371,371,6032,0,0,0,2068,0,0,0
372,372,4536,0,0,0,1484,0,0,0
373,373,6505,0,0,0,2192,0,0,0
374,374,5981,0,0,0,2424,0,0,0
375,375,4913,0,0,0,1473,0,0,0
376,376,5743,0,0,0,2243,0,0,0
377,377,7327,0,0,0,2181,0,0,0
378,378,4481,0,0,0,1416,0,0,0
379,379,6973,0,0,0,2204,0,0,0
380,380,4259,0,0,0,1921,0,0,0
381,381,5113,0,0,0,1944,0,0,0
382,382,6383,0,0,0,2196,0,0,0
383,383,5851,0,0,0,2041,0,0,0
384,384,5921,0,0,0,2240,0,0,0
385,385,4790,0,0,0,1931,0,0,0
386,386,4914,0,0,0,1861,0,0,0
387,387,6367,0,0,0,1840,0,0,0
388,388,5934,0,0,0,1934,0,0,0
389,389,4439,0,0,0,2057,0,0,0
390,390,5392,0,0,0,1830,0,0,0
391,391,5723,0,0,0,1964,0,0,0
392,392,6374,0,0,0,2083,0,0,0
393,393,4549,0,0,0,1865,0,0,0
394,394,4644,0,0,0,2064,0,0,0
395,395,8532,0,0,0,2158,0,0,0
396,396,6038,0,0,0,1805,0,0,0
397,397,5255,0,0,0,2376,0,0,0
398,398,5340,0,0,0,1793,0,0,0
399,399,5454,0,0,0,1780,0,0,0
400,400,5915,0,0,0,2109,0,0,0
401,401,4328,0,0,0,2245,0,0,0
402,402,3386,0,0,0,2041,0,0,0
403,403,7113,0,0,0,1843,0,0,0
404,404,6144,0,0,0,2099,0,0,0
405,405,6337,0,0,0,1936,0,0,0
406,406,6387,0,0,0,2074,0,0,0
407,407,5881,0,0,0,1553,0,0,0
408,408,4997,0,0,0,1884,0,0,0
409,409,6445,0,0,0,1422,0,0,0
410,410,3926,0,0,0,2230,0,0,0
411,411,5478,0,0,0,1493,0,0,0
412,412,6363,0,0,0,1834,0,0,0
413,413,4805,0,0,0,2251,0,0,0
414,414,5241,0,0,0,1980,0,0,0
415,415,4559,0,0,0,1664,0,0,0
416,416,4810,0,0,0,1530,0,0,0
417,417,4616,0,0,0,3646,0,0,0
418,418,6237,0,0,0,3382,0,0,0
419,419,4907,0,0,0,2932,0,0,0
420,420,2816,0,0,0,2751,0,0,0
421,421,5264,0,0,0,3300,0,0,0
422,422,4798,0,0,0,3054,0,0,0
423,423,6354,0,0,0,2715,0,0,0
424,424,6167,0,0,0,3394,0,0,0
425,425,4336,0,0,0,2786,0,0,0
426,426,6506,0,0,0,2592,0,0,0
427,427,7406,0,0,0,2855,0,0,0
428,428,6019,0,0,0,2850,0,0,0
429,429,7986,0,0,0,3130,0,0,0
430,430,4549,0,0,0,2612,0,0,0
431,431,4179,0,0,0,2847,0,0,0
432,432,5634,0,0,0,2666,0,0,0
433,433,4065,0,0,0,2588,0,0,0
434,434,6549,0,0,0,2033,0,0,0
435,435,5789,0,0,0,2424,0,0,0
436,436,4345,0,0,0,2745,0,0,0
437,437,7150,0,0,0,2361,0,0,0
438,438,4951,0,0,0,2334,0,0,0
439,439,4150,0,0,0,2466,0,0,0
440,440,6611,0,0,0,2621,0,0,0
441,441,4957,0,0,0,1840,0,0,0
442,442,5569,0,0,0,1911,0,0,0
443,443,4620,0,0,0,2183,0,0,0
444,444,5679,0,0,0,2663,0,0,0
445,445,5219,0,0,0,2484,0,0,0
446,446,6778,0,0,0,2568,0,0,0
447,447,5810,0,0,0,3090,0,0,0
448,448,8345,0,0,0,2882,0,0,0
449,449,5318,0,0,0,3016,0,0,0
450,450,4952,0,0,0,2345,0,0,0
451,451,5684,0,0,0,3439,0,0,0
452,452,3985,0,0,0,3585,0,0,0
453,453,5722,0,0,0,3481,0,0,0
454,454,6681,0,0,0,3710,0,0,0
455,455,6108,0,0,0,3037,0,0,0
456,456,5938,0,0,0,3979,0,0,0
457,457,7557,0,0,0,2671,0,0,0
458,458,5855,0,0,0,3697,0,0,0
459,459,2921,0,0,0,2925,0,0,0
460,460,6752,0,0,0,2693,0,0,0
461,461,9263,0,0,0,3450,0,0,0
462,462,4508,0,0,0,3533,0,0,0
463,463,3595,0,0,0,2910,0,0,0
464,464,4606,0,0,0,3370,0,0,0
465,465,4867,0,0,0,3480,0,0,0
466,466,5433,0,0,0,3194,0,0,0
467,467,4239,0,0,0,3306,0,0,0
468,468,3972,0,0,0,3773,0,0,0
469,469,3988,0,0,0,3293,0,0,0
470,470,5520,0,0,0,3094,0,0,0
471,471,4921,0,0,0,3094,0,0,0
472,472,6674,0,0,0,3164,0,0,0
473,473,3643,0,0,0,2861,0,0,0
474,474,4753,0,0,0,2079,0,0,0
475,475,4162,0,0,0,3534,0,0,0
476,476,6733,0,0,0,3684,0,0,0
477,477,4545,0,0,0,3032,0,0,0
478,478,5846,0,0,0,3445,0,0,0
479,479,3580,0,0,0,2575,0,0,0
480,480,4326,0,0,0,3316,0,0,0
481,481,4764,0,0,0,3523,0,0,0
482,482,5215,0,0,0,3194,0,0,0
483,483,5831,0,0,0,2730,0,0,0
484,484,6157,0,0,0,2969,0,0,0
485,485,4400,0,0,0,3082,0,0,0
486,486,4454,0,0,0,3439,0,0,0
487,487,5734,0,0,0,2517,0,0,0
488,488,9544,0,0,0,2203,0,0,0
489,489,10125,0,0,0,2069,0,0,0
490,490,6075,0,0,0,3030,0,0,0
491,491,6780,0,0,0,3196,0,0,0
492,492,6339,0,0,0,2491,0,0,0
493,493,7777,0,0,0,2272,0,0,0
494,494,7844,0,0,0,2873,0,0,0
495,495,9111,0,0,0,2994,0,0,0
496,496,6851,0,0,0,2341,0,0,0
497,497,7569,0,0,0,2559,0,0,0
498,498,6300,0,0,0,2584,0,0,0
499,499,6675,0,0,0,2570,0,0,0
500,500,10392,0,0,0,3412,0,0,0
501,501,10338,0,0,0,2808,0,0,0
502,502,7090,0,0,0,2534,0,0,0
503,503,8938,0,0,0,2711,0,0,0
504,504,5861,0,0,0,2255,0,0,0
505,505,7746,0,0,0,2523,0,0,0
506,506,5723,0,0,0,2790,0,0,0
507,507,9025,0,0,0,3357,0,0,0
508,508,6398,0,0,0,2559,0,0,0
509,509,5361,0,0,0,1960,0,0,0
510,510,7451,0,0,0,3027,0,0,0
511,511,5738,0,0,0,3273,0,0,0
512,512,5699,0,0,0,2739,0,0,0
513,513,5726,0,0,0,2319,0,0,0
514,514,6304,0,0,0,2978,0,0,0
515,515,6561,0,0,0,2769,0,0,0
