,st_areasha
604,561913.981398
605,527014.6351865
606,654826.209296
607,635526.843586
608,679358.3064905
609,1068210.3609265
610,528644.7480085
611,631180.3577765
612,525215.758207
613,1232429.8156605
614,921681.9582
615,589065.3165675
616,683453.550206
617,580388.231286
618,818674.1336455
619,615337.455977
620,1079932.7868055
621,703879.129229
622,901940.092885
623,1136543.292496
624,948822.3896765
625,966273.4576695
626,708584.912405
627,1033219.6823955
628,769424.81701
629,1122084.8868435
630,688938.32796
631,680714.763544
632,936981.7980645
633,976263.5910195
634,873808.2192435
635,774715.967603
636,1024310.4349645
637,816296.0414515
638,1287834.9141985
639,767477.0671945
640,646155.586973
641,1417710.379669
642,796921.262738
643,956592.613726
644,732489.476035
645,1017795.6492865
646,640016.8606575
647,623892.584038
648,989976.49881
649,1154862.660813
650,1059376.02748
651,818735.362239
652,1436702.3197415
653,745676.407343
654,1051278.063507
655,1031665.4524795
656,939502.1668825
657,769812.529848
658,1355022.143901
659,1187223.7657685
660,958680.781638
661,965114.4116415
662,1732722.5440685
663,775683.372589
664,1950727.6666315
665,5404196.412019
666,926112.730006
667,1145955.848527
668,1047999.8362975
669,770797.7321425
670,809440.8206425
671,743300.4089055
672,1156327.590917
673,1763994.1231315
674,925283.0867105
675,929036.5163065
676,962028.5838015
677,1545950.494449
678,1482277.344207
679,1669370.620153
680,1246769.0739115
681,898432.0559415
682,1162981.8833465
683,1653681.395521
684,1711023.010414
685,3221198.796404
686,1330579.7585175
687,1634196.7109925
688,1535935.779661
689,546293.7049925
690,430759.5065135
691,1564130.9587925
692,500474.294534
693,632016.1688475
694,696068.0286435
695,523427.3520975
696,588238.1485145
697,453926.524541
698,709252.5561935
699,490457.921585
700,789187.7210395
701,3405668.592305
702,400089.5748535
703,652128.4636285
704,702347.5137055
705,501961.9112215
706,581214.9128535
707,439799.9521025
708,742770.8631575
709,385039.935989
710,546208.011875
711,1259061.0489215
712,844075.2957175
713,459711.1338215
714,449919.3998865
715,1263468.9273215
716,763707.279466
717,787172.405345
718,629359.7994505
719,595163.484368
720,722525.136588
721,4223604.012201
722,1897530.733722
723,1327828.8567245
724,1418677.050762
